ADV7611 I/O register map defaults
0x00		08	06	F0	00	62	2C	A0	40	14	00	90	44	62	1E	0F	1E
0x10		00	00	D0	0D	6A	BE	43	5A	34	00	02	00	00	00	00	00
0x20		F0	00	00	03	00	00	00	00	00	00	00	00	00	00	00	00
0x30		88	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0x40		20	30	04	40	00	00	00	40	84	00	00	00	00	00	00	00
0x50		00	00	00	00	00	00	00	00	00	00	00	08	0C	00	00	00
0x60		00	15	00	00	00	40	04	00	00	00	00	C2	00	00	00	00
0x70		07	00	00	00	00	00	00	00	00	00	1C	00	00	00	80	44
0x80		00	00	00	6B	94	00	00	00	D4	42	00	00	00	00	00	00
0x90		00	00	24	00	00	00	00	53	3A	00	00	00	00	00	00	00
0xA0		00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0xB0		00	00	00	00	00	00	00	43	E0	00	00	08	0F	FF	00	00
0xC0		00	0E	00	00	00	00	00	00	00	00	00	00	00	00	00	00
0xD0		00	0F	6F	EF	F4	FE	00	00	2D	15	F1	5F	40	00	00	00
0xE0		00	00	04	00	01	00	00	00	04	00	20	51	00	00	00	00
0xF0		00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00
